centrale;tranche;filiere;sector;sous_filiere;contrat_programme;combustible;fuel;point_gps_wsg84;region;code_insee_region;departement;code_insee_departement;epci;code_insee_epci;commune;code_insee_commune;tri;perimetre_juridique;perimetre_spatial;spatial_perimeter;sub_sector;date_de_mise_en_service_industrielle;puissance_installee;puissance_minimum_de_conception;reserve_secondaire_maximale;unite
NOGENT-SUR-SEINE;NOGENT 1;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 1300;P'4;Uranium Enrichi;Enriched Uranium;48.514581,3.524182;GRAND EST;44.0;AUBE;10.0;CC du Nogentais;200006716.0;Nogent-sur-Seine;10268.0;58;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 1300;1988-02-24;1310.0;260.0;70.0;MW
NOGENT-SUR-SEINE;NOGENT 2;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 1300;P'4;Uranium Enrichi;Enriched Uranium;48.514581,3.524182;GRAND EST;44.0;AUBE;10.0;CC du Nogentais;200006716.0;Nogent-sur-Seine;10268.0;59;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 1300;1989-05-01;1310.0;260.0;70.0;MW
PALUEL;PALUEL 1;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 1300;P4;Uranium Enrichi;Enriched Uranium;49.858754,0.634759;NORMANDIE;28.0;SEINE-MARITIME;76.0;CC de la Côte d'Albâtre;200069839.0;Paluel;76493.0;60;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 1300;1985-12-01;1330.0;260.0;70.0;MW
PALUEL;PALUEL 2;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 1300;P4;Uranium Enrichi;Enriched Uranium;49.858754,0.634759;NORMANDIE;28.0;SEINE-MARITIME;76.0;CC de la Côte d'Albâtre;200069839.0;Paluel;76493.0;61;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 1300;1985-12-01;1330.0;260.0;70.0;MW
PALUEL;PALUEL 3;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 1300;P4;Uranium Enrichi;Enriched Uranium;49.858754,0.634759;NORMANDIE;28.0;SEINE-MARITIME;76.0;CC de la Côte d'Albâtre;200069839.0;Paluel;76493.0;62;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 1300;1986-02-01;1330.0;260.0;70.0;MW
PALUEL;PALUEL 4;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 1300;P4;Uranium Enrichi;Enriched Uranium;49.858754,0.634759;NORMANDIE;28.0;SEINE-MARITIME;76.0;CC de la Côte d'Albâtre;200069839.0;Paluel;76493.0;63;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 1300;1986-06-01;1330.0;260.0;70.0;MW
PENLY;PENLY 1;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 1300;P'4;Uranium Enrichi;Enriched Uranium;49.976144,1.210236;NORMANDIE;28.0;SEINE-MARITIME;76.0;CC Falaises du Talou;247600729.0;Petit-Caux;76618.0;64;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 1300;1990-12-01;1330.0;260.0;70.0;MW
PENLY;PENLY 2;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 1300;P'4;Uranium Enrichi;Enriched Uranium;49.976144,1.210236;NORMANDIE;28.0;SEINE-MARITIME;76.0;CC Falaises du Talou;247600729.0;Petit-Caux;76618.0;65;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 1300;1992-11-01;1330.0;260.0;70.0;MW
ST-ALBAN-ST-MAURICE;ST-ALBAN 1;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 1300;H4;Uranium Enrichi;Enriched Uranium;45.405445,4.755573;AUVERGNE-RHONE-ALPES;84.0;ISERE;38.0;CC d'Entre Bièvre et Rhône;200085751.0;Saint-Maurice-l'Exil;38425.0;66;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 1300;1986-05-01;1335.0;260.0;70.0;MW
ST-ALBAN-ST-MAURICE;ST-ALBAN 2;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 1300;H4;Uranium Enrichi;Enriched Uranium;45.405445,4.755573;AUVERGNE-RHONE-ALPES;84.0;ISERE;38.0;CC d'Entre Bièvre et Rhône;200085751.0;Saint-Maurice-l'Exil;38425.0;67;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 1300;1987-03-01;1335.0;260.0;70.0;MW
ST-LAURENT-DES-EAUX B;ST-LAURENT B 1;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 900;CP2;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;47.720248,1.580217;CENTRE-VAL DE LOIRE;24.0;LOIR-ET-CHER;41.0;CC du Grand Chambord;244100798.0;Saint-Laurent-Nouan;41220.0;68;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 900;1983-08-01;915.0;180.0;50.0;MW
ST-LAURENT-DES-EAUX B;ST-LAURENT B 2;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 900;CP2;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;47.720248,1.580217;CENTRE-VAL DE LOIRE;24.0;LOIR-ET-CHER;41.0;CC du Grand Chambord;244100798.0;Saint-Laurent-Nouan;41220.0;69;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 900;1983-08-01;915.0;180.0;50.0;MW
TRICASTIN (LE);TRICASTIN 1;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 900;CP1;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;44.326355,4.731541;AUVERGNE-RHONE-ALPES;84.0;DROME;26.0;CC Drôme Sud Provence;200042901.0;Saint-Paul-Trois-Châteaux;26324.0;70;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 900;1980-12-01;915.0;180.0;50.0;MW
TRICASTIN (LE);TRICASTIN 2;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 900;CP1;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;44.326355,4.731541;AUVERGNE-RHONE-ALPES;84.0;DROME;26.0;CC Drôme Sud Provence;200042901.0;Saint-Paul-Trois-Châteaux;26324.0;71;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 900;1980-12-01;915.0;180.0;50.0;MW
TRICASTIN (LE);TRICASTIN 3;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 900;CP1;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;44.326355,4.731541;AUVERGNE-RHONE-ALPES;84.0;DROME;26.0;CC Drôme Sud Provence;200042901.0;Saint-Paul-Trois-Châteaux;26324.0;72;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 900;1981-05-11;915.0;180.0;50.0;MW
TRICASTIN (LE);TRICASTIN 4;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 900;CP1;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;44.326355,4.731541;AUVERGNE-RHONE-ALPES;84.0;DROME;26.0;CC Drôme Sud Provence;200042901.0;Saint-Paul-Trois-Châteaux;26324.0;73;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 900;1981-11-01;915.0;180.0;50.0;MW
